method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Fixed depth 30,fixed_depth_30,fixed depth,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.35891167322794,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,67,14,4f144e90a05f3ee602f3cb3f278bd97477a1eb9f0053213082aaf7c0df140a3f,74.05167233323057,55.13077990072114,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,102,21,3aad62b918c608437688534e26d9b318ecbeb244cae04b0edd0b5c3add6c28b1,57.86745154789339,67.16976334793227,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,217,41,9e9a9c91ea4bdd60ba8bd55974d798d077ba6397d3e8b0d1bed75dc0bce934e0,59.56862103988727,50.08462213197859,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,387,72,4d25b9cc3a364d42e3b5642529796bec8df590dbaf14aae7bd9555fb75b24f31,60.95103903400401,33.896883825874994,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,1403,304,8c016fc4945909c80d06613ad2387a0ae0522e18a3e5a5e00bd501ff74bd378e,55.42830184505632,49.01883282875152,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,5000,304,8c016fc4945909c80d06613ad2387a0ae0522e18a3e5a5e00bd501ff74bd378e,55.42830184505632,49.01883282875152,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.35891167322794,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,1,88,21,ab1e20675994bbf73302de70ac48f4f3087001fb8b0d6a28d3c75920d67fff5f,72.20417014639824,44.53652265880789,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,1,130,27,880e0535879268874e5cb07205e31fcbe4fadea9f9ef9efb4160e0fa960ed378,65.22949608210475,45.6252946279667,True,5000
